X,Y,U,V
-1.2e+007,-1.2e+007,-5.45374e-009,-5.45374e-009
-1.2e+007,-1.176e+007,-5.56394e-009,-5.45262e-009
-1.2e+007,-1.152e+007,-5.67632e-009,-5.44919e-009
-1.2e+007,-1.128e+007,-5.79088e-009,-5.4433e-009
-1.2e+007,-1.104e+007,-5.90759e-009,-5.43481e-009
-1.2e+007,-1.08e+007,-6.02644e-009,-5.42356e-009
-1.2e+007,-1.056e+007,-6.1474e-009,-5.40942e-009
-1.2e+007,-1.032e+007,-6.27042e-009,-5.3922e-009
-1.2e+007,-1.008e+007,-6.39546e-009,-5.37176e-009
-1.2e+007,-9.84e+006,-6.52247e-009,-5.34792e-009
-1.2e+007,-9.6e+006,-6.65137e-009,-5.32052e-009
-1.2e+007,-9.36e+006,-6.7821e-009,-5.28937e-009
-1.2e+007,-9.12e+006,-6.91455e-009,-5.2543e-009
-1.2e+007,-8.88e+006,-7.04863e-009,-5.21513e-009
-1.2e+007,-8.64e+006,-7.18422e-009,-5.17168e-009
-1.2e+007,-8.4e+006,-7.32118e-009,-5.12377e-009
-1.2e+007,-8.16e+006,-7.45938e-009,-5.07121e-009
-1.2e+007,-7.92e+006,-7.59866e-009,-5.01383e-009
-1.2e+007,-7.68e+006,-7.73882e-009,-4.95145e-009
-1.2e+007,-7.44e+006,-7.8797e-009,-4.88389e-009
-1.2e+007,-7.2e+006,-8.02106e-009,-4.81099e-009
-1.2e+007,-6.96e+006,-8.16269e-009,-4.73259e-009
-1.2e+007,-6.72e+006,-8.30433e-009,-4.64854e-009
-1.2e+007,-6.48e+006,-8.44574e-009,-4.55869e-009
-1.2e+007,-6.24e+006,-8.58661e-009,-4.46291e-009
-1.2e+007,-6e+006,-8.72666e-009,-4.36109e-009
-1.2e+007,-5.76e+006,-8.86558e-009,-4.25313e-009
-1.2e+007,-5.52e+006,-9.00303e-009,-4.13894e-009
-1.2e+007,-5.28e+006,-9.13866e-009,-4.01846e-009
-1.2e+007,-5.04e+006,-9.27211e-009,-3.89165e-009
-1.2e+007,-4.8e+006,-9.40302e-009,-3.7585e-009
-1.2e+007,-4.56e+006,-9.531e-009,-3.61902e-009
-1.2e+007,-4.32e+006,-9.65566e-009,-3.47323e-009
-1.2e+007,-4.08e+006,-9.7766e-009,-3.32121e-009
-1.2e+007,-3.84e+006,-9.89341e-009,-3.16306e-009
-1.2e+007,-3.6e+006,-1.00057e-008,-2.99889e-009
-1.2e+007,-3.36e+006,-1.0113e-008,-2.82887e-009
-1.2e+007,-3.12e+006,-1.02151e-008,-2.65319e-009
-1.2e+007,-2.88e+006,-1.03113e-008,-2.47208e-009
-1.2e+007,-2.64e+006,-1.04015e-008,-2.2858e-009
-1.2e+007,-2.4e+006,-1.04853e-008,-2.09465e-009
-1.2e+007,-2.16e+006,-1.05622e-008,-1.89894e-009
-1.2e+007,-1.92e+006,-1.06319e-008,-1.69904e-009
-1.2e+007,-1.68e+006,-1.06942e-008,-1.49532e-009
-1.2e+007,-1.44e+006,-1.07488e-008,-1.28821e-009
-1.2e+007,-1.2e+006,-1.07954e-008,-1.07814e-009
-1.2e+007,-960000,-1.08339e-008,-8.65566e-010
-1.2e+007,-720000,-1.0864e-008,-6.50967e-010
-1.2e+007,-480000,-1.08856e-008,-4.34835e-010
-1.2e+007,-240000,-1.08986e-008,-2.17676e-010
-1.2e+007,0,-1.09029e-008,6.93138e-027
-1.2e+007,240000,-1.08986e-008,2.17676e-010
-1.2e+007,480000,-1.08856e-008,4.34835e-010
-1.2e+007,720000,-1.0864e-008,6.50967e-010
-1.2e+007,960000,-1.08339e-008,8.65566e-010
-1.2e+007,1.2e+006,-1.07954e-008,1.07814e-009
-1.2e+007,1.44e+006,-1.07488e-008,1.28821e-009
-1.2e+007,1.68e+006,-1.06942e-008,1.49532e-009
-1.2e+007,1.92e+006,-1.06319e-008,1.69904e-009
-1.2e+007,2.16e+006,-1.05622e-008,1.89894e-009
-1.2e+007,2.4e+006,-1.04853e-008,2.09465e-009
-1.2e+007,2.64e+006,-1.04015e-008,2.2858e-009
-1.2e+007,2.88e+006,-1.03113e-008,2.47208e-009
-1.2e+007,3.12e+006,-1.02151e-008,2.65319e-009
-1.2e+007,3.36e+006,-1.0113e-008,2.82887e-009
-1.2e+007,3.6e+006,-1.00057e-008,2.99889e-009
-1.2e+007,3.84e+006,-9.89341e-009,3.16306e-009
-1.2e+007,4.08e+006,-9.7766e-009,3.32121e-009
-1.2e+007,4.32e+006,-9.65566e-009,3.47323e-009
-1.2e+007,4.56e+006,-9.531e-009,3.61902e-009
-1.2e+007,4.8e+006,-9.40302e-009,3.7585e-009
-1.2e+007,5.04e+006,-9.27211e-009,3.89165e-009
-1.2e+007,5.28e+006,-9.13866e-009,4.01846e-009
-1.2e+007,5.52e+006,-9.00303e-009,4.13894e-009
-1.2e+007,5.76e+006,-8.86558e-009,4.25313e-009
-1.2e+007,6e+006,-8.72666e-009,4.36109e-009
-1.2e+007,6.24e+006,-8.58661e-009,4.46291e-009
-1.2e+007,6.48e+006,-8.44574e-009,4.55869e-009
-1.2e+007,6.72e+006,-8.30433e-009,4.64854e-009
-1.2e+007,6.96e+006,-8.16269e-009,4.73259e-009
-1.2e+007,7.2e+006,-8.02106e-009,4.81099e-009
-1.2e+007,7.44e+006,-7.8797e-009,4.88389e-009
-1.2e+007,7.68e+006,-7.73882e-009,4.95145e-009
-1.2e+007,7.92e+006,-7.59866e-009,5.01383e-009
-1.2e+007,8.16e+006,-7.45938e-009,5.07121e-009
-1.2e+007,8.4e+006,-7.32118e-009,5.12377e-009
-1.2e+007,8.64e+006,-7.18422e-009,5.17168e-009
-1.2e+007,8.88e+006,-7.04863e-009,5.21513e-009
-1.2e+007,9.12e+006,-6.91455e-009,5.2543e-009
-1.2e+007,9.36e+006,-6.7821e-009,5.28937e-009
