x,y
-3.141593,-0.005670
-3.092119,-0.046749
-3.042645,-0.089296
-2.993171,-0.133549
-2.943697,-0.179417
-2.894223,-0.226591
-2.844749,-0.274629
-2.795275,-0.323028
-2.745801,-0.371271
-2.696328,-0.418863
-2.646854,-0.465357
-2.597380,-0.510370
-2.547906,-0.553588
-2.498432,-0.594768
-2.448958,-0.633738
-2.399484,-0.670391
-2.350010,-0.704672
-2.300536,-0.736579
-2.251062,-0.766141
-2.201589,-0.793419
-2.152115,-0.818492
-2.102641,-0.841447
-2.053167,-0.862373
-2.003693,-0.881358
-1.954219,-0.898475
-1.904745,-0.913787
-1.855271,-0.927339
-1.805797,-0.939157
-1.756323,-0.949247
-1.706850,-0.957597
-1.657376,-0.964177
-1.607902,-0.968940
-1.558428,-0.971826
-1.508954,-0.972765
-1.459480,-0.971676
-1.410006,-0.968479
-1.360532,-0.963090
-1.311058,-0.955428
-1.261584,-0.945420
-1.212111,-0.933001
-1.162637,-0.918117
-1.113163,-0.900732
-1.063689,-0.880823
-1.014215,-0.858386
-0.964741,-0.833438
-0.915267,-0.806013
-0.865793,-0.776168
-0.816319,-0.743976
-0.766845,-0.709533
-0.717372,-0.672951
-0.667898,-0.634357
-0.618424,-0.593894
-0.568950,-0.551719
-0.519476,-0.507996
-0.470002,-0.462900
-0.420528,-0.416610
-0.371054,-0.369306
-0.321580,-0.321173
-0.272106,-0.272390
-0.222633,-0.223135
-0.173159,-0.173577
-0.123685,-0.123879
-0.074211,-0.074194
-0.024737,-0.024665
0.024737,0.024578
0.074211,0.073415
0.123685,0.121741
0.173159,0.169460
0.222633,0.216491
0.272106,0.262760
0.321580,0.308208
0.371054,0.352779
0.420528,0.396427
0.470002,0.439112
0.519476,0.480795
0.568950,0.521439
0.618424,0.561008
0.667898,0.599460
0.717372,0.636752
0.766845,0.672834
0.816319,0.707647
0.865793,0.741125
0.915267,0.773191
0.964741,0.803758
1.014215,0.832731
1.063689,0.860002
1.113163,0.885455
1.162637,0.908967
1.212111,0.930407
1.261584,0.949641
1.311058,0.966534
1.360532,0.980951
1.410006,0.992763
1.459480,1.001850
1.508954,1.008101
1.558428,1.011423
1.607902,1.011743
1.657376,1.009009
1.706850,1.003197
1.756323,0.994311
1.805797,0.982388
1.855271,0.967496
1.904745,0.949738
1.954219,0.929249
2.003693,0.906197
2.053167,0.880776
2.102641,0.853207
2.152115,0.823730
2.201589,0.792593
2.251062,0.760052
2.300536,0.726350
2.350010,0.691717
2.399484,0.656348
2.448958,0.620396
2.498432,0.583955
2.547906,0.547051
2.597380,0.509623
2.646854,0.471518
2.696328,0.432481
2.745801,0.392150
2.795275,0.350058
2.844749,0.305642
2.894223,0.258256
2.943697,0.207203
2.993171,0.151776
3.042645,0.091313
3.092119,0.025278
3.141593,-0.046639
