gen,AA,AB,BB,BO,OO,AO
0,0.230313,0.149936,0.0601982,0.169075,0.291131,0.099337
1,0.182595,0.163255,0.0609382,0.156855,0.258332,0.178015
2,0.145836,0.157595,0.0551183,0.174975,0.209714,0.256752
3,0.130176,0.158555,0.0511385,0.179675,0.192734,0.287711
4,0.125336,0.155395,0.0505185,0.185614,0.182995,0.300131
5,0.128176,0.153575,0.0488785,0.188514,0.179075,0.301771
6,0.127236,0.155975,0.0491185,0.187334,0.182695,0.297631
7,0.127096,0.155815,0.0488785,0.189134,0.179875,0.299191
8,0.125816,0.153675,0.0495185,0.187274,0.182755,0.300951
9,0.123956,0.153235,0.0497185,0.189694,0.180475,0.302911
10,0.125076,0.156315,0.0491185,0.186254,0.180715,0.302511
11,0.121496,0.155595,0.0498785,0.188394,0.181335,0.303291
12,0.126596,0.155375,0.0491785,0.189234,0.180815,0.298791
13,0.126536,0.156075,0.0493785,0.188474,0.180975,0.298551
14,0.126996,0.154615,0.0471986,0.189574,0.181875,0.299731
15,0.127656,0.153255,0.0493985,0.190974,0.181595,0.297111
16,0.126136,0.157515,0.0483585,0.190914,0.177595,0.299471
17,0.124056,0.157095,0.0494785,0.186174,0.181995,0.301191
18,0.125436,0.156635,0.0497985,0.191174,0.180775,0.296171
19,0.126956,0.157055,0.0483585,0.188414,0.180215,0.298991
20,0.127176,0.155595,0.0489785,0.192094,0.178975,0.297171
21,0.126476,0.157395,0.0503385,0.190054,0.179075,0.296651
22,0.125316,0.157395,0.0500585,0.188594,0.178615,0.300011
23,0.122156,0.159415,0.0503385,0.191534,0.178455,0.298091
24,0.122416,0.157355,0.0516185,0.190354,0.179175,0.299071
25,0.121656,0.157255,0.0508385,0.191594,0.180995,0.297651
26,0.123736,0.159235,0.0506585,0.190994,0.178475,0.296891
27,0.122896,0.158095,0.0503985,0.187494,0.181815,0.299291
28,0.122436,0.156895,0.0502185,0.190534,0.181555,0.298351
29,0.123776,0.156115,0.0513585,0.191214,0.178995,0.298531
30,0.122536,0.159275,0.0496785,0.191134,0.179095,0.298271
31,0.119776,0.157575,0.0507185,0.193954,0.179215,0.298751
32,0.120136,0.158495,0.0504585,0.192474,0.180795,0.297631
33,0.121176,0.157135,0.0517184,0.193234,0.179855,0.296871
34,0.120816,0.158635,0.0513585,0.189274,0.182355,0.297551
35,0.119676,0.158855,0.0508385,0.190734,0.180195,0.299691
36,0.119976,0.158435,0.0520184,0.190974,0.179015,0.299571
37,0.118756,0.158875,0.0511785,0.190934,0.183934,0.296311
38,0.122536,0.156695,0.0529984,0.189954,0.182675,0.295131
39,0.120396,0.154775,0.0522384,0.191534,0.186174,0.294871
40,0.119696,0.155375,0.0505185,0.197094,0.182495,0.294811
41,0.120056,0.157835,0.0509985,0.191774,0.184594,0.294731
42,0.121036,0.155455,0.0512185,0.193774,0.183714,0.294791
43,0.120156,0.156815,0.0519584,0.195314,0.180815,0.294931
44,0.119496,0.158835,0.0524184,0.193614,0.181615,0.294011
45,0.120016,0.161235,0.0521584,0.190754,0.181775,0.294051
46,0.120956,0.157815,0.0529784,0.191954,0.179815,0.296471
47,0.120556,0.156375,0.0527984,0.193094,0.177875,0.299291
48,0.117916,0.161175,0.0515985,0.192734,0.178395,0.298171
49,0.121096,0.159895,0.0517584,0.192254,0.180915,0.294071
50,0.122336,0.157555,0.0531784,0.192174,0.178375,0.296371
51,0.125796,0.156355,0.0522384,0.194094,0.177155,0.294351
52,0.121476,0.161275,0.0522584,0.192174,0.176235,0.296571
53,0.121436,0.158235,0.0522184,0.193754,0.179555,0.294791
54,0.122276,0.160495,0.0515585,0.195074,0.178655,0.291931
55,0.120136,0.155155,0.0527784,0.194534,0.180355,0.297031
56,0.121276,0.159515,0.0529784,0.190214,0.179715,0.296291
57,0.120556,0.157755,0.0509785,0.196574,0.179035,0.295091
58,0.120396,0.158475,0.0506585,0.195674,0.179575,0.295211
59,0.121336,0.156675,0.0526184,0.193414,0.177555,0.298391
60,0.120136,0.157835,0.0515585,0.193014,0.180035,0.297411
61,0.121016,0.158615,0.0528384,0.193454,0.180435,0.293631
62,0.122676,0.159775,0.0517584,0.190674,0.182355,0.292751
63,0.119756,0.158475,0.0530584,0.192394,0.183015,0.293291
64,0.121476,0.160315,0.0516185,0.190974,0.181135,0.294471
65,0.121176,0.158415,0.0508785,0.190954,0.181815,0.296751
66,0.120796,0.158375,0.0512185,0.191534,0.181535,0.296531
67,0.122016,0.156895,0.0511185,0.190234,0.186114,0.293611
68,0.122256,0.156995,0.0486985,0.192634,0.184194,0.295211
69,0.119796,0.157395,0.0503985,0.189794,0.184354,0.298251
70,0.120536,0.155395,0.0502585,0.190754,0.184094,0.298951
71,0.117936,0.158255,0.0498985,0.193454,0.183454,0.296991
72,0.119396,0.155875,0.0508785,0.194214,0.182575,0.297051
73,0.121296,0.154495,0.0520784,0.192634,0.185754,0.293731
74,0.120756,0.155595,0.0505585,0.191634,0.184474,0.296971
75,0.117756,0.155155,0.0503385,0.190694,0.185614,0.300431
76,0.119056,0.155355,0.0506785,0.193954,0.182915,0.298031
77,0.120416,0.154515,0.0528784,0.192694,0.183894,0.295591
78,0.120396,0.155935,0.0493585,0.194114,0.183474,0.296711
79,0.120056,0.155935,0.0496785,0.191394,0.184174,0.298751
80,0.119956,0.154915,0.0496985,0.192854,0.184454,0.298111
81,0.122256,0.152855,0.0497385,0.194114,0.181535,0.299491
82,0.119476,0.153875,0.0513185,0.193014,0.184214,0.298091
83,0.120976,0.154615,0.0508985,0.191854,0.184554,0.297091
84,0.120816,0.156015,0.0486585,0.191754,0.187854,0.294891
85,0.120976,0.154755,0.0501385,0.193414,0.183295,0.297411
86,0.120016,0.156235,0.0496985,0.192194,0.184634,0.297211
87,0.121716,0.159355,0.0477986,0.189474,0.185314,0.296331
88,0.121636,0.159795,0.0492985,0.190454,0.182575,0.296231
89,0.122436,0.158775,0.0485185,0.190554,0.182335,0.297371
90,0.121596,0.157015,0.0479386,0.190814,0.181375,0.301251
91,0.122496,0.153795,0.0507185,0.191414,0.182635,0.298931
92,0.121796,0.156595,0.0504985,0.189694,0.182775,0.298631
93,0.120056,0.155235,0.0499985,0.191354,0.183694,0.299651
94,0.123476,0.157695,0.0492985,0.192814,0.181035,0.295671
95,0.120276,0.155975,0.0507785,0.191894,0.180615,0.300451
96,0.123716,0.154735,0.0505985,0.193514,0.181275,0.296151
97,0.122656,0.153895,0.0504385,0.191614,0.183215,0.298171
98,0.123016,0.154815,0.0499785,0.189494,0.182595,0.300091
99,0.122796,0.157555,0.0504185,0.191334,0.181115,0.296771
100,0.117996,0.160055,0.0495585,0.192514,0.182435,0.297431
101,0.116796,0.157035,0.0493185,0.193874,0.181135,0.301831
102,0.119896,0.157715,0.0507385,0.189974,0.181595,0.300071
103,0.119196,0.157715,0.0505585,0.193874,0.179855,0.298791
104,0.117616,0.158115,0.0495385,0.191054,0.182155,0.301511
105,0.121876,0.154995,0.0507985,0.193574,0.181235,0.297511
106,0.119916,0.155415,0.0507585,0.195354,0.184694,0.293851
107,0.118256,0.156995,0.0514585,0.195254,0.183854,0.294171
108,0.118956,0.157595,0.0503785,0.192314,0.181895,0.298851
109,0.120576,0.156775,0.0510585,0.196254,0.180775,0.294551
110,0.120876,0.157515,0.0501385,0.192354,0.184214,0.294891
111,0.121076,0.156735,0.0521984,0.192454,0.185294,0.292231
112,0.120436,0.155755,0.0506185,0.194074,0.182355,0.296751
113,0.118236,0.159715,0.0498585,0.194074,0.183494,0.294611
